date,ITUB4,LREN3,MGLU3,TTEN3,VALE3,soma,evolucao_patrimonial,evolucao_percentual,evolucao_cum
2023-01-10,-129423.335,0.0,0.0,0.0,0.0,-129423.335,-2448.550000000003,0.018918922155730284,1.1055875919516216
2023-01-11,-131672.005,0.0,0.0,0.0,0.0,-131672.005,-2248.6699999999983,0.0170778139210381,1.12446861112038
2023-01-12,-129823.1,0.0,0.0,0.0,0.0,-129823.1,1848.9049999999988,-0.01424172585618429,1.1084542374269193
2023-01-13,-129173.48499999999,0.0,0.0,0.0,0.0,-129173.48499999999,649.6150000000198,-0.005029011952414382,1.102879807818195
2023-01-16,-127774.315,0.0,0.0,0.0,0.0,-127774.315,1399.1699999999837,-0.010950322840705377,1.0908029178680905
2023-01-17,-130422.745,0.0,0.0,0.0,0.0,-130422.745,-2648.429999999993,0.020306504053414862,1.1129533117412558
2023-01-18,-132771.355,0.0,0.0,0.0,0.0,-132771.355,-2348.610000000015,0.017689131816121143,1.1326404895778355
2023-01-19,-132771.355,0.0,0.0,0.0,0.0,-132771.355,0.0,-0.0,1.1326404895778355
2023-01-20,-130422.745,0.0,0.0,0.0,0.0,-130422.745,2348.610000000015,-0.018007671898026798,1.1122442712630973
2023-01-23,-126425.105,0.0,0.0,0.0,0.0,-126425.105,3997.6399999999994,-0.03162061838904543,1.077074419606085
2023-01-24,-127574.43500000001,0.0,0.0,0.0,0.0,-127574.43500000001,-1149.3300000000163,0.00900909339712158,1.086777883647967
2023-01-25,-128024.17,0.0,0.0,0.0,0.0,-128024.17,-449.73499999998603,0.0035128913548120332,1.090595616280035
2023-01-26,-127274.605,0.0,0.0,0.0,0.0,-127274.605,749.5650000000023,-0.005889352396733051,1.0841727143734297
2023-01-27,-124576.205,0.0,0.0,0.0,0.0,-124576.205,2698.399999999994,-0.021660637358474632,1.0606888423734337
2023-01-30,-124626.185,0.0,0.0,0.0,0.0,-124626.185,-49.979999999995925,0.00040103931609553745,1.0611142203013695
2023-01-31,-126575.025,0.0,0.0,0.0,0.0,-126575.025,-1948.8399999999965,0.015396718270448665,1.0774518970041165
2023-02-01,-124900.0,0.0,0.0,0.0,0.0,-124900.0,1675.0249999999942,-0.013410928742994349,1.06300226638939
2023-02-02,-126049.995,0.0,0.0,0.0,0.0,-126049.995,-1149.9949999999953,0.009123324439639965,1.0727003809457332
2023-02-03,-125600.00499999999,0.0,0.0,0.0,0.0,-125600.00499999999,449.99000000000524,-0.003582722787312033,1.0688571928469606
2023-02-06,-125649.99500000001,0.0,0.0,0.0,0.0,-125649.99500000001,-49.99000000001979,0.00039785118972762224,1.0692824389527835
2023-02-07,-122749.995,0.0,0.0,0.0,0.0,-122749.995,2900.0000000000146,-0.023625255544817047,1.0440203680829387
2023-02-08,-132900.0,0.0,0.0,0.0,0.0,-132900.0,-10150.005000000005,0.07637325056433412,1.1237555972488054
2023-02-09,-129600.00000000001,0.0,0.0,0.0,0.0,-129600.00000000001,3299.9999999999854,-0.025462962962962847,1.095141450096637
2023-02-10,-129000.0,0.0,0.0,0.0,0.0,-129000.0,600.0000000000146,-0.004651162790697787,1.0900477689333967
2023-02-13,-133550.0,0.0,0.0,0.0,0.0,-133550.0,-4550.0,0.03406963684013478,1.1271853005593566
2023-02-14,-131899.995,0.0,0.0,0.0,0.0,-131899.995,1650.0050000000047,-0.012509515258131773,1.1130847588432675
2023-02-15,-133550.0,0.0,0.0,0.0,0.0,-133550.0,-1650.0050000000047,0.012354960688880604,1.1268368772821682
2023-02-16,-134250.0,0.0,0.0,0.0,0.0,-134250.0,-700.0,0.0052141527001862194,1.1327123768285186
2023-02-17,-135550.0,0.0,0.0,0.0,0.0,-135550.0,-1300.0,0.009590556990040576,1.1435757194318168
2023-02-22,-131600.0,0.0,0.0,0.0,0.0,-131600.0,3950.0,-0.03001519756838906,1.109251068278658
2023-02-23,-133450.0,0.0,0.0,0.0,0.0,-133450.0,-1850.0,0.013862869988759834,1.1246284716230979
